Velocidade local,Dia da Semana,Cond Aderência,Zona,Tipos Vias,Estado Conservação,Factores Atmosféricos,Reg Circulação1,Intersecção Vias,Localizações,Luminosidade,Marca Via,Natureza,Obras Arte,Sinais,Sinais Luminosos,Tipo Piso,Traçado 1,Traçado 2,Traçado 3,Traçado 4,Via Trânsito,Periodo do Dia,Tipo de Acidente,Data
50.0,Sábado       ,Seco e limpo,ALENTEJO,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,atropelamento,NÃO DEFINIDO,Passagem de peões,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Em plena via,Direita,Noite,ligeiro,2014:01:04
50.0,Sexta-Feira  ,Molhado,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,atropelamento,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Noite,ligeiro,2011:01:28
50.0,Domingo      ,Húmido,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Chuva,Sentido único,Em entroncamento,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,Outros,A funcionar normalmente,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2012:01:15
50.0,Quarta-Feira ,Molhado,NORTE,Arruamento,Em estado regular,Chuva,Dois sentidos,Em entroncamento,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Manha,ligeiro,2013:01:09
50.0,Quarta-Feira ,Molhado,NORTE,Arruamento,Em estado regular,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,atropelamento,NÃO DEFINIDO,Passagem de peões,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2013:01:16
20.0,Quarta-Feira ,Seco e limpo,CENTRO,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,atropelamento,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betão de cimento,Recta,Com inclinação,Sem berma ou impraticável,Em parque de estacionamento,Direita,Tarde,ligeiro,2015:01:07
90.0,Quarta-Feira ,Seco e limpo,AREA METROPOLITANA DE LISBOA,EN - Estrada Nacional,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Fora das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Berma não pavimentada,Em plena via,Direita,Tarde,ligeiro,2010:01:27
50.0,Sábado       ,Seco e limpo,ALGARVE,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,despiste,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Noite,ligeiro,2015:01:31
50.0,Sexta-Feira  ,Seco e limpo,NORTE,EN - Estrada Nacional,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2012:01:13
100.0,Quarta-Feira ,Seco e limpo,AREA METROPOLITANA DE LISBOA,IC - Itinerário Complementar,Em estado regular,Bom tempo,Sentido único,NÃO DEFINIDO,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,NÃO DEFINIDO,Direita,Tarde,ligeiro,2018:01:03
